# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population;;;;
2019 rank;Name;State;2019 estimate;Land area
1;New York;New York;8 336 817;780,9
2;Los Angeles;California;3 979 576;1 213,90
3;Chicago;Illinois;2 693 976;588,7
4;Houston;Texas;2 320 268;1 651,10
5;Phoenix;Arizona;1 680 992;1 340,60
6;Philadelphia;Pennsylvania;1 584 064;347,6
7;San Antonio;Texas;1 547 253;1 194,00
8;San Diego;California;1 423 851;842,3
9;Dallas;Texas;1 343 573;882,9
10;San Jose;California;1 021 795;459,7
11;Austin;Texas;978 908;809,9
12;Jacksonville;Florida;911 507;1 935,80
13;Fort Worth;Texas;909 585;888,1
14;Columbus;Ohio;898 553;565,9
15;Charlotte;North Carolina;885 708;791
16;San Francisco;California;881 549;121,5
17;Indianapolis;Indiana;876 384;936,3
18;Seattle;Washington;753 675;217
19;Denver;Colorado;727 211;397
20;Washington;District of Columbia;705 749;158,2
21;Boston;Massachusetts;6 926;125,1
22;El Paso;Texas;681 728;665,1
23;Nashville;Tennessee;67 082;1 232,60
24;Detroit;Michigan;670 031;359,5
25;Oklahoma City;Oklahoma;655 057;1 570,30
26;Portland;Oregon;654 741;345,8
27;Las Vegas;Nevada;651 319;348,1
28;Memphis;Tennessee;651 073;822,1
29;Louisville;Kentucky;617 638;682,5
30;Baltimore;Maryland;59 349;209,5
31;Milwaukee;Wisconsin;590 157;249,2
32;Albuquerque;New Mexico;560 513;487,4
33;Tucson;Arizona;548 073;597,8
34;Fresno;California;531 576;296,3
35;Mesa;Arizona;518 012;357,2
36;Sacramento;California;513 624;253,6
37;Atlanta;Georgia;506 811;345,8
38;Kansas City;Missouri;495 327;815,8
39;Colorado Springs;Colorado;478 221;506,6
40;Omaha;Nebraska;478 192;345
41;Raleigh;North Carolina;474 069;375,8
42;Miami;Florida;467 963;93,2
43;Long Beach;California;462 628;130,3
44;Virginia Beach;Virginia;449 974;633,8
45;Oakland;California;433 031;144,8
46;Minneapolis;Minnesota;429 606;139,9
47;Tulsa;Oklahoma;40 119;509,7
48;Tampa;Florida;3 997;293,7
49;Arlington;Texas;398 854;248,1
50;New Orleans;Louisiana;390 144;438,7
51;Wichita;Kansas;389 938;415,4
52;Bakersfield;California;384 145;385,4
53;Cleveland;Ohio;381 009;201,2
54;Aurora;Colorado;379 289;397,6
55;Anaheim;California;350 365;129,5
56;Honolulu;Hawaii;345 064;156,7
57;Santa Ana;California;332 318;70,2
58;Riverside;California;33 136;210,3
59;Corpus Christi;Texas;326 586;452,2
60;Lexington;Kentucky;323 152;734,5
61;Henderson;Nevada;320 189;271,2
62;Stockton;California;312 697;159,8
63;Saint Paul;Minnesota;308 096;134,7
64;Cincinnati;Ohio;30 394;200,5
65;St. Louis;Missouri;300 576;160,6
66;Pittsburgh;Pennsylvania;300 286;143,5
67;Greensboro;North Carolina;29 671;332,3
68;Lincoln;Nebraska;289 102;238,5
69;Anchorage;Alaska;288;4 420,10
70;Plano;Texas;287 677;185,7
71;Orlando;Florida;287 442;272,5
72;Irvine;California;287 401;169,9
73;Newark;New Jersey;282 011;62,4
74;Durham;North Carolina;278 993;284,4
75;Chula Vista;California;274 492;128,5
76;Toledo;Ohio;272 779;209
77;Fort Wayne;Indiana;270 402;286,5
78;St. Petersburg;Florida;265 351;160,1
79;Laredo;Texas;262 491;261,8
80;Jersey City;New Jersey;262 075;38,3
81;Chandler;Arizona;261 165;168,1
82;Madison;Wisconsin;25 968;199,4
83;Lubbock;Texas;258 862;322,7
84;Scottsdale;Arizona;258 069;476,3
85;Reno;Nevada;255 601;277,9
86;Buffalo;New York;255 284;104,6
87;Gilbert;Arizona;254 114;176,1
88;Glendale;Arizona;252 381;153,1
89;North Las Vegas;Nevada;251 974;253,8
90;WinstonSalem;North Carolina;247 945;343,2
91;Chesapeake;Virginia;244 835;876,7
92;Norfolk;Virginia;242 742;138
93;Fremont;California;24 111;200,7
94;Garland;Texas;239 928;147,6
95;Irving;Texas;239 798;173,5
96;Hialeah;Florida;233 339;55,7
97;Richmond;Virginia;230 436;154,9
98;Boise;Idaho;228 959;212,6
99;Spokane;Washington;222 081;177,9
100;Baton Rouge;Louisiana;220 236;222,5
101;Tacoma;Washington;217 827;128,7
102;San Bernardino;California;215 784;159,3
103;Modesto;California;215 196;111,4
104;Fontana;California;214 547;111,4
105;Des Moines;Iowa;214 237;230,2
106;Moreno Valley;California;213 055;132,9
107;Santa Clarita;California;212 979;136,8
108;Fayetteville;North Carolina;211 657;382,5
109;Birmingham;Alabama;209 403;378,4
110;Oxnard;California;208 881;69,7
111;Rochester;New York;205 695;92,7
112;Port St. Lucie;Florida;201 846;307,9
113;Grand Rapids;Michigan;201 013;115
114;Huntsville;Alabama;200 574;552,7
115;Salt Lake City;Utah;200 567;288
116;Frisco;Texas;20 049;175,3
117;Yonkers;New York;20 037;46,6
118;Amarillo;Texas;199 371;262,6
119;Glendale;California;199 303;78,7
120;Huntington Beach;California;199 223;69,7
121;McKinney;Texas;199 177;163,2
122;Montgomery;Alabama;198 525;413,9
123;Augusta;Georgia;197 888;783,5
124;Aurora;Illinois;197 757;116,3
125;Akron;Ohio;197 597;160,6
126;Little Rock;Arkansas;197 312;307,4
127;Tempe;Arizona;195 805;103,6
128;Columbus;Georgia;195 769;560,5
129;Overland Park;Kansas;195 494;194,5
130;Grand Prairie;Texas;194 543;187,3
131;Tallahassee;Florida;1 945;260
132;Cape Coral;Florida;194 495;273,5
133;Mobile;Alabama;18 872;361
134;Knoxville;Tennessee;187 603;255,1
135;Shreveport;Louisiana;187 112;277,4
136;Worcester;Massachusetts;185 428;96,9
137;Ontario;California;18 501;129,2
138;Vancouver;Washington;184 463;121,5
139;Sioux Falls;South Dakota;183 793;195,3
140;Chattanooga;Tennessee;182 799;370,6
141;Brownsville;Texas;182 781;343,2
142;Fort Lauderdale;Florida;182 437;89,6
143;Providence;Rhode Island;179 883;47,7
144;Newport News;Virginia;179 225;179
145;Rancho Cucamonga;California;177 603;103,6
146;Santa Rosa;California;176 753;107
147;Peoria;Arizona;175 961;455,1
148;Oceanside;California;175 742;107
149;Elk Grove;California;174 775;109,3
150;Salem;Oregon;174 365;125,9
151;Pembroke Pines;Florida;173 591;85,5
152;Eugene;Oregon;172 622;114,2
153;Garden Grove;California;171 644;46,6
154;Cary;North Carolina;170 282;146,3
155;Fort Collins;Colorado;170 243;144,5
156;Corona;California;169 868;102,3
157;Springfield;Missouri;167 882;213,2
158;Jackson;Mississippi;160 628;287,5
159;Alexandria;Virginia;159 428;38,8
160;Hayward;California;159 203;117,8
161;Clarksville;Tennessee;158 146;254,6
162;Lakewood;Colorado;157 935;111,1
163;Lancaster;California;157 601;244,2
164;Salinas;California;155 465;61,1
165;Palmdale;California;155 079;274,5
166;Hollywood;Florida;154 817;70,7
167;Springfield;Massachusetts;153 606;82,6
168;Macon;Georgia;153 159;645,7
169;Kansas City;Kansas;15 296;323,2
170;Sunnyvale;California;152 703;57
171;Pomona;California;151 691;59,6
172;Killeen;Texas;151 666;138,6
173;Escondido;California;151 625;96,1
174;Pasadena;Texas;151 227;112,7
175;Naperville;Illinois;148 449;100,2
176;Bellevue;Washington;148 164;86,8
